dt1,dt,im,md,valid
2018-01-21 09:08:27,1516525707,/Volumes/T7/planet/mutale/data/20180121_090827_104e/20180121_090827_104e_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180121_090827_104e/20180121_090827_104e_3B_AnalyticMS_metadata.xml,TRUE
2018-02-02 09:06:45,1517562405,/Volumes/T7/planet/mutale/data/20180202_090645_104b/20180202_090645_104b_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180202_090645_104b/20180202_090645_104b_3B_AnalyticMS_metadata.xml,TRUE
2018-02-15 07:32:04,1518679924,/Volumes/T7/planet/mutale/data/20180215_073204_101b/20180215_073204_101b_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180215_073204_101b/20180215_073204_101b_3B_AnalyticMS_metadata.xml,TRUE
2018-02-24 09:03:48,1519463028,/Volumes/T7/planet/mutale/data/20180224_090348_0f3c/20180224_090348_0f3c_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180224_090348_0f3c/20180224_090348_0f3c_3B_AnalyticMS_metadata.xml,TRUE
2018-04-01 08:58:31,1522573111,/Volumes/T7/planet/mutale/data/20180401_085831_1052/20180401_085831_1052_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180401_085831_1052/20180401_085831_1052_3B_AnalyticMS_metadata.xml,TRUE
2018-04-07 07:33:43,1523086423,/Volumes/T7/planet/mutale/data/20180407_073343_1042/20180407_073343_1042_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180407_073343_1042/20180407_073343_1042_3B_AnalyticMS_metadata.xml,TRUE
2018-04-14 08:56:56,1523696216,/Volumes/T7/planet/mutale/data/20180414_085656_0f33/20180414_085656_0f33_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180414_085656_0f33/20180414_085656_0f33_3B_AnalyticMS_metadata.xml,TRUE
2018-04-18 08:55:42,1524041742,/Volumes/T7/planet/mutale/data/20180418_085542_1050/20180418_085542_1050_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180418_085542_1050/20180418_085542_1050_3B_AnalyticMS_metadata.xml,TRUE
2018-04-19 08:55:29,1524128129,/Volumes/T7/planet/mutale/data/20180419_085529_0f1a/20180419_085529_0f1a_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180419_085529_0f1a/20180419_085529_0f1a_3B_AnalyticMS_metadata.xml,TRUE
2018-04-22 07:34:46,1524382486,/Volumes/T7/planet/mutale/data/20180422_073446_0f22/20180422_073446_0f22_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180422_073446_0f22/20180422_073446_0f22_3B_AnalyticMS_metadata.xml,TRUE
2018-04-23 12:19:36,1524485976,/Volumes/T7/planet/mutale/data/20180423_121936_1_0c43/20180423_121936_1_0c43_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180423_121936_1_0c43/20180423_121936_1_0c43_3B_AnalyticMS_metadata.xml,TRUE
2018-04-24 10:51:48,1524567108,/Volumes/T7/planet/mutale/data/20180424_105148_0f02/20180424_105148_0f02_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180424_105148_0f02/20180424_105148_0f02_3B_AnalyticMS_metadata.xml,TRUE
2018-04-25 07:34:31,1524641671,/Volumes/T7/planet/mutale/data/20180425_073431_0f34/20180425_073431_0f34_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180425_073431_0f34/20180425_073431_0f34_3B_AnalyticMS_metadata.xml,TRUE
2018-04-27 07:34:39,1524814479,/Volumes/T7/planet/mutale/data/20180427_073439_1018/20180427_073439_1018_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180427_073439_1018/20180427_073439_1018_3B_AnalyticMS_metadata.xml,TRUE
2018-05-03 07:34:31,1525332871,/Volumes/T7/planet/mutale/data/20180503_073431_1034/20180503_073431_1034_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180503_073431_1034/20180503_073431_1034_3B_AnalyticMS_metadata.xml,TRUE
2018-05-09 08:53:38,1525856018,/Volumes/T7/planet/mutale/data/20180509_085338_0f36/20180509_085338_0f36_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180509_085338_0f36/20180509_085338_0f36_3B_AnalyticMS_metadata.xml,TRUE
2018-05-10 08:52:58,1525942378,/Volumes/T7/planet/mutale/data/20180510_085258_104e/20180510_085258_104e_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180510_085258_104e/20180510_085258_104e_3B_AnalyticMS_metadata.xml,TRUE
2018-05-11 08:52:22,1526028742,/Volumes/T7/planet/mutale/data/20180511_085222_0f2b/20180511_085222_0f2b_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180511_085222_0f2b/20180511_085222_0f2b_3B_AnalyticMS_metadata.xml,TRUE
2018-05-12 07:35:01,1526110501,/Volumes/T7/planet/mutale/data/20180512_073501_0e3a/20180512_073501_0e3a_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180512_073501_0e3a/20180512_073501_0e3a_3B_AnalyticMS_metadata.xml,TRUE
2018-05-25 07:36:04,1527233764,/Volumes/T7/planet/mutale/data/20180525_073604_0f34/20180525_073604_0f34_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180525_073604_0f34/20180525_073604_0f34_3B_AnalyticMS_metadata.xml,TRUE
2018-05-29 07:35:16,1527579316,/Volumes/T7/planet/mutale/data/20180529_073516_1013/20180529_073516_1013_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180529_073516_1013/20180529_073516_1013_3B_AnalyticMS_metadata.xml,TRUE
2018-06-01 08:49:30,1527842970,/Volumes/T7/planet/mutale/data/20180601_084930_0f33/20180601_084930_0f33_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180601_084930_0f33/20180601_084930_0f33_3B_AnalyticMS_metadata.xml,TRUE
2018-06-02 07:36:06,1527924966,/Volumes/T7/planet/mutale/data/20180602_073606_1044/20180602_073606_1044_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180602_073606_1044/20180602_073606_1044_3B_AnalyticMS_metadata.xml,TRUE
2018-06-02 07:36:07,1527924967,/Volumes/T7/planet/mutale/data/20180602_073607_1044/20180602_073607_1044_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180602_073607_1044/20180602_073607_1044_3B_AnalyticMS_metadata.xml,TRUE
2018-06-05 07:35:31,1528184131,/Volumes/T7/planet/mutale/data/20180605_073531_1002/20180605_073531_1002_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180605_073531_1002/20180605_073531_1002_3B_AnalyticMS_metadata.xml,TRUE
2018-06-06 08:49:25,1528274965,/Volumes/T7/planet/mutale/data/20180606_084925_0f4a/20180606_084925_0f4a_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180606_084925_0f4a/20180606_084925_0f4a_3B_AnalyticMS_metadata.xml,FALSE
2018-06-07 07:36:12,1528356972,/Volumes/T7/planet/mutale/data/20180607_073612_103c/20180607_073612_103c_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180607_073612_103c/20180607_073612_103c_3B_AnalyticMS_metadata.xml,TRUE
2018-06-07 08:48:29,1528361309,/Volumes/T7/planet/mutale/data/20180607_084829_0f4d/20180607_084829_0f4d_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180607_084829_0f4d/20180607_084829_0f4d_3B_AnalyticMS_metadata.xml,TRUE
2018-06-08 07:35:45,1528443345,/Volumes/T7/planet/mutale/data/20180608_073545_1014/20180608_073545_1014_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180608_073545_1014/20180608_073545_1014_3B_AnalyticMS_metadata.xml,TRUE
2018-06-08 08:48:15,1528447695,/Volumes/T7/planet/mutale/data/20180608_084815_0f2d/20180608_084815_0f2d_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180608_084815_0f2d/20180608_084815_0f2d_3B_AnalyticMS_metadata.xml,TRUE
2018-06-09 07:36:35,1528529795,/Volumes/T7/planet/mutale/data/20180609_073635_100e/20180609_073635_100e_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180609_073635_100e/20180609_073635_100e_3B_AnalyticMS_metadata.xml,TRUE
2018-06-09 07:36:36,1528529796,/Volumes/T7/planet/mutale/data/20180609_073636_100e/20180609_073636_100e_3B_AnalyticMS.tif,/Volumes/T7/planet/mutale/data/20180609_073636_100e/20180609_073636_100e_3B_AnalyticMS_metadata.xml,FALSE
